account,classification,trades,total_notional,avg_pnl,win_rate
0x2c229d22b100a7beb69122eed721cee9b24011dd,Extreme Greed,1478,5039569.4,61.49868092692828,0.4878213802435724
0x2c229d22b100a7beb69122eed721cee9b24011dd,Fear,381,584523.86,10.444070267716535,0.4330708661417323
0x2c229d22b100a7beb69122eed721cee9b24011dd,Greed,253,1022433.76,79.35048596442688,0.541501976284585
0x2c229d22b100a7beb69122eed721cee9b24011dd,Neutral,1015,3242893.15,41.66782569064039,0.5753694581280788
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Extreme Fear,263,426110.77999999997,-216.6077025589354,0.11026615969581749
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Extreme Greed,161,449446.74,192.49802342236023,0.45962732919254656
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Fear,256,338174.45,-1.8244488125,0.6796875
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Greed,102,156310.59,-34.62735278431372,0.7254901960784313
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Neutral,33,39859.44,-37.23960921212121,0.6060606060606061
0x39cef799f8b69da1995852eea189df24eb5cae3c,Extreme Fear,1668,6740754.44,-45.67115998381295,0.302158273381295
0x39cef799f8b69da1995852eea189df24eb5cae3c,Extreme Greed,115,546525.63,125.27291186956522,0.4956521739130435
0x39cef799f8b69da1995852eea189df24eb5cae3c,Fear,1471,6207226.96,37.175405240652616,0.3222297756628144
0x39cef799f8b69da1995852eea189df24eb5cae3c,Greed,63,733557.1,168.12317865079365,0.4444444444444444
0x39cef799f8b69da1995852eea189df24eb5cae3c,Neutral,272,2965311.29,40.26929397058824,0.41544117647058826
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,Extreme Fear,19,64377.46000000001,5.818598105263158,1.0
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,Extreme Greed,206,554152.63,178.9813353932039,0.36893203883495146
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,Fear,79,337546.24,53.88049758227849,0.620253164556962
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,Greed,26,124084.75,163.0698608846154,0.5
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,Neutral,2,63735.380000000005,4009.581548,0.5
0x420ab45e0bd8863569a5efbb9c05d91f40624641,Extreme Fear,61,149251.29,155.09970963934427,0.04918032786885246
0x420ab45e0bd8863569a5efbb9c05d91f40624641,Extreme Greed,108,347816.12,37.21869064814815,0.23148148148148148
0x420ab45e0bd8863569a5efbb9c05d91f40624641,Fear,98,617413.63,1016.8191668265306,0.35714285714285715
0x420ab45e0bd8863569a5efbb9c05d91f40624641,Greed,68,670213.14,177.69044117647059,0.029411764705882353
0x420ab45e0bd8863569a5efbb9c05d91f40624641,Neutral,48,202833.43,1547.7846563541668,0.5208333333333334
0x430f09841d65beb3f27765503d0f850b8bce7713,Extreme Fear,79,440050.95,0.0,0.0
0x430f09841d65beb3f27765503d0f850b8bce7713,Extreme Greed,15,124285.34,8285.663251666667,1.0
0x430f09841d65beb3f27765503d0f850b8bce7713,Fear,237,601013.33,23.692202962025316,0.10126582278481013
0x430f09841d65beb3f27765503d0f850b8bce7713,Greed,772,1174862.15,294.922916753886,0.6373056994818653
0x430f09841d65beb3f27765503d0f850b8bce7713,Neutral,134,625897.45,440.0102964925373,0.5074626865671642
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,Extreme Fear,391,224065.46,-37.15458444501279,0.26342710997442453
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,Extreme Greed,3150,1707644.17,21.35744426634921,0.34285714285714286
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,Fear,924,498888.4,10.821952627705627,0.37662337662337664
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,Greed,3398,1667155.83,10.761178141259565,0.3507945850500294
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,Neutral,656,311075.04,6.142136719512195,0.43902439024390244
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Extreme Fear,986,10441684.57,169.06328548275863,0.3093306288032454
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Extreme Greed,167,878585.38,122.73086336526946,0.3592814371257485
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Fear,1396,18227807.74,212.59435734813755,0.40902578796561606
